Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6
0.647372286	0.067853058	0.057303045	0.110795327	0.029329414	0.01323496	0	0.007722596	0.001591387
0.158517736	0.061969108	0.561398001	0.035954441	0.023952169	0.005949986	0.000815462	0.003060661	0
0.133252699	0.069233957	0.239948506	0.043059045	0.09362399	0.007731912	0	0.003067408	0.003082544
0.381116268	0.06167459	0.085948638	0.184986709	0.064556343	0.025531404	0.009848619	0.021000145	0.007517454
0.468417667	0.052491443	0.053659942	0.122699242	0.052584816	0.037039205	0.007166475	0.072659681	0.020951959
0.499087847	0.132155343	0.099990479	0.064593069	0.040201264	0.022614898	0.009596998	0.006439575	0.003363664
0.224102166	0.262437037	0.29922207	0.03569578	0.016715573	0.016065974	0.056995291	0.016130831	0.004278354
0.672349357	0.070199569	0.048944569	0.104785043	0.017528893	0.032410322	0.006472833	0.023404549	0.007419135
0.272172996	0.22247494	0.282331593	0.038201508	0.043944169	0.027997715	0.014418973	0.007429023	0.007738075
0.404571223	0.074945913	0.095268025	0.172729426	0.051497422	0.047087525	0.007252043	0.025982882	0.012579077
0.336393678	0.133585218	0.108133399	0.112778779	0.072733146	0.091628374	0.00843149	0.018711885	0.011766187
0.28655131	0.144101257	0.171256071	0.064023968	0.069680386	0.051915882	0.009300988	0.004789437	0.007466975
0.43543847	0.068683332	0.036375946	0.22128073	0.053308647	0.080814303	0.010945114	0.048717505	0.019000806
0.484795402	0.052223997	0.056113395	0.070708097	0.042773612	0.122889894	0.003509174	0.008501945	0.01109496
0.413817761	0.163554571	0.086041742	0.142446745	0.040833362	0.0391482	0.03431821	0.028751989	0.009625569
